,react,C0C7_num
73,CCCCc1ccc(B2OB(c3ccc(CCCC)cc3)OB(c3ccc(CCCC)cc3)O2)cc1,B1([c:1]2[cH:2][cH:6][c:6]([CH2:6][CH2:6][CH2:6][CH3:6])[cH:6][cH:3]2)[O:4][B:8]([c:6]2[cH:6][cH:6][c:6]([CH2:6][CH2:6][CH2:6][CH3:6])[cH:6][cH:6]2)[O:6][B:7]([c:6]2[cH:6][cH:6][c:6]([CH2:6][CH2:6][CH2:6][CH3:6])[cH:6][cH:6]2)[O:5]1
74,COc1ccc(B2OB(c3ccc(OC)cc3)OB(c3ccc(OC)cc3)O2)cc1,B1([c:1]2[cH:2][cH:6][c:6]([O:6][CH3:6])[cH:6][cH:3]2)[O:4][B:8]([c:6]2[cH:6][cH:6][c:6]([O:6][CH3:6])[cH:6][cH:6]2)[O:6][B:7]([c:6]2[cH:6][cH:6][c:6]([O:6][CH3:6])[cH:6][cH:6]2)[O:5]1
75,Fc1ccc(B2OB(c3ccc(F)cc3)OB(c3ccc(F)cc3)O2)cc1,B1([c:1]2[cH:2][cH:6][c:6]([F:6])[cH:6][cH:3]2)[O:4][B:8]([c:6]2[cH:6][cH:6][c:6]([F:6])[cH:6][cH:6]2)[O:6][B:7]([c:6]2[cH:6][cH:6][c:6]([F:6])[cH:6][cH:6]2)[O:5]1
76,COc1cc(OC)cc(B2OB(c3cc(OC)cc(OC)c3)OB(c3cc(OC)cc(OC)c3)O2)c1,B1([c:1]2[cH:2][c:6]([O:6][CH3:6])[cH:6][c:6]([O:6][CH3:6])[cH:3]2)[O:4][B:8]([c:6]2[cH:6][c:6]([O:6][CH3:6])[cH:6][c:6]([O:6][CH3:6])[cH:6]2)[O:6][B:7]([c:6]2[cH:6][c:6]([O:6][CH3:6])[cH:6][c:6]([O:6][CH3:6])[cH:6]2)[O:5]1
77,Cc1cc(C)cc(B2OB(c3cc(C)cc(C)c3)OB(c3cc(C)cc(C)c3)O2)c1,B1([c:1]2[cH:2][c:6]([CH3:6])[cH:6][c:6]([CH3:6])[cH:3]2)[O:4][B:8]([c:6]2[cH:6][c:6]([CH3:6])[cH:6][c:6]([CH3:6])[cH:6]2)[O:6][B:7]([c:6]2[cH:6][c:6]([CH3:6])[cH:6][c:6]([CH3:6])[cH:6]2)[O:5]1
78,c1ccc(B2OB(c3ccccc3)OB(c3ccc(-c4cccc(B5OB(c6ccccc6)OB(c6ccccc6)O5)c4)cc3)O2)cc1,B1([c:1]2[cH:2][cH:8][cH:8][cH:8][cH:3]2)[O:4][B:6]([c:8]2[cH:8][cH:8][cH:8][cH:8][cH:8]2)[O:8][B:9]([c:8]2[cH:8][cH:8][cH:8][c:8](-[c:8]3[cH:8][cH:8][c:8]([B:7]4[O:8][B:10]([c:8]5[cH:8][cH:8][cH:8][cH:8][cH:8]5)[O:8][B:11]([c:8]5[cH:8][cH:8][cH:8][cH:8][cH:8]5)[O:8]4)[cH:8][cH:8]3)[cH:8]2)[O:5]1
79,CCCCN=C=O,O=[C:1]=[N:2][CH2:3][CH2:4][CH2:5][CH3:5]
80,CCN=C=O,O=[C:1]=[N:2][CH2:3][CH3:4]
81,CCCCCCN=C=O,O=[C:1]=[N:2][CH2:3][CH2:4][CH2:5][CH2:5][CH2:5][CH3:5]
82,O=C=NCc1ccccc1,O=[C:1]=[N:2][CH2:3][c:4]1[cH:5][cH:5][cH:5][cH:5][cH:5]1
83,O=C=NCCc1ccccc1,O=[C:1]=[N:2][CH2:3][CH2:4][c:5]1[cH:5][cH:5][cH:5][cH:5][cH:5]1
84,CC(C)N=C=O,O=[C:1]=[N:2][CH:3]([CH3:4])[CH3:6]
85,O=C=NC1CCCCC1,O=[C:1]=[N:2][CH:3]1[CH2:4][CH2:5][CH2:5][CH2:5][CH2:6]1
86,O=C(Cc1ccccc1)c1ccccc1,[CH:1]([H:0])([C:2]([c:3]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[O:4])[c:18]1[cH:8][cH:7][cH:6][cH:5][cH:17]1
87,CCC(=O)c1ccccc1,[CH:1]([H:0])([C:2]([c:3]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)=[O:4])[CH3:11]
88,CC(C)CC(=O)c1ccccc1,[CH:1]([H:0])([C:2]([c:3]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)=[O:4])[CH:14]([CH3:13])[CH3:15]
89,COc1ccc(C(C)=O)cc1,[CH2:1]([H:0])[C:2]([c:3]1[cH:9][cH:10][c:14]([O:13][CH3:12])[cH:15][cH:16]1)=[O:4]
90,CC(=O)c1ccc(C)cc1,[CH2:1]([H:0])[C:2]([c:3]1[cH:9][cH:8][c:6]([CH3:7])[cH:5][cH:14]1)=[O:4]
91,CC(=O)c1ccc(N(C)C)cc1,[CH2:1]([H:0])[C:2]([c:3]1[cH:11][cH:10][c:6]([N:7]([CH3:8])[CH3:9])[cH:5][cH:16]1)=[O:4]
92,COc1cc(C(C)=O)cc(OC)c1OC,[CH2:1]([H:0])[C:2]([c:3]1[cH:8][c:9]([O:10][CH3:11])[c:12]([O:13][CH3:14])[c:18]([O:17][CH3:16])[cH:19]1)=[O:4]
93,CC(=O)c1ccc(F)cc1,[CH2:1]([H:0])[C:2]([c:3]1[cH:9][cH:8][c:6]([F:7])[cH:5][cH:14]1)=[O:4]
94,CC(=O)c1ccc(C(F)(F)F)cc1,[CH2:1]([H:0])[C:2]([c:3]1[cH:12][cH:11][c:6]([C:7]([F:8])([F:9])[F:10])[cH:5][cH:17]1)=[O:4]
95,CC(=O)c1cccnc1,[CH2:1]([H:0])[C:2]([c:3]1[cH:8][n:7][cH:6][cH:5][cH:13]1)=[O:4]
96,CC(=O)c1ccco1,[CH2:1]([H:0])[C:2]([c:3]1[o:7][cH:6][cH:5][cH:12]1)=[O:4]
97,CC(=O)c1cccs1,[CH2:1]([H:0])[C:2]([c:3]1[s:7][cH:6][cH:5][cH:12]1)=[O:4]
98,CC(=O)c1ccn(C)c1,[CH2:1]([H:0])[C:2]([c:3]1[cH:8][n:6]([CH3:7])[cH:5][cH:13]1)=[O:4]
99,CC(=O)c1cn(C)c2ccccc12,[CH2:1]([H:0])[C:2]([c:3]1[c:12]2[c:7]([n:5]([CH3:6])[cH:17]1)[cH:8][cH:9][cH:10][cH:11]2)=[O:4]
100,CC(=O)C(C)(C)C,[CH2:1]([H:0])[C:2]([C:3]([CH3:5])([CH3:6])[CH3:11])=[O:4]
101,CC(=O)c1ccccc1,[CH2:1]([H:0])[C:2]([c:3]1[cH:8][cH:7][cH:6][cH:5][cH:13]1)=[O:4]
102,CC[Si](CC)(CC)B1OC(C)(C)C(C)(C)O1,B1([Si:1]([CH2:2][CH3:6])([CH2:3][CH3:6])[CH2:4][CH3:6])[O:5][C:6]([CH3:6])([CH3:6])[C:6]([CH3:6])([CH3:6])[O:7]1
103,CC1(C)OB([Si](C)(C)c2ccccc2)OC1(C)C,B1([Si:1]([CH3:2])([CH3:3])[c:4]2[cH:6][cH:6][cH:6][cH:6][cH:6]2)[O:5][C:6]([CH3:6])([CH3:6])[C:6]([CH3:6])([CH3:6])[O:7]1
104,O=C=O,O=[C:1]=[O:2]
105,C1COCCN1,[N:1]([H:0])1[CH2:2][CH2:4][O:8][CH2:5][CH2:3]1
106,C1CCNC1,[N:1]([H:0])1[CH2:2][CH2:5][CH2:4][CH2:3]1
107,C1CCNCC1,[N:1]([H:0])1[CH2:2][CH2:4][CH2:7][CH2:5][CH2:3]1
108,C1CCCNCC1,[N:1]([H:0])1[CH2:2][CH2:4][CH2:10][CH2:8][CH2:5][CH2:3]1
109,c1ccc(C2CCNCC2)cc1,[N:1]([H:0])1[CH2:2][CH2:4][CH:17]([c:16]2[cH:10][cH:11][cH:13][cH:15][cH:14]2)[CH2:5][CH2:3]1
110,c1ccc(N2CCNCC2)cc1,[N:1]([H:0])1[CH2:2][CH2:4][N:17]([c:16]2[cH:10][cH:11][cH:13][cH:15][cH:14]2)[CH2:5][CH2:3]1
111,c1ccc(N2CCNCC2)nc1,[N:1]([H:0])1[CH2:2][CH2:4][N:17]([c:16]2[n:10][cH:11][cH:13][cH:15][cH:14]2)[CH2:5][CH2:3]1
112,C1CC[C@H]2CNCC[C@@H]2C1,[N:1]([H:0])1[CH2:2][C@H:4]2[C@H:8]([CH2:5][CH2:3]1)[CH2:9][CH2:11][CH2:13][CH2:12]2
113,CNCc1ccccc1,[N:1]([H:0])([CH3:2])[CH2:3][c:4]1[cH:8][cH:7][cH:6][cH:5][cH:13]1
114,CCCCNC,[N:1]([H:0])([CH2:2][CH2:4][CH2:9][CH3:7])[CH3:3]
115,c1ccc2ocnc2c1,[c:1]([H:0])1[n:2][c:5]2[c:4]([o:3]1)[cH:12][cH:11][cH:10][cH:8]2
116,Cc1ccc2ncoc2c1,[c:1]([H:0])1[n:2][c:4]2[c:5]([o:3]1)[cH:9][c:13]([CH3:11])[cH:12][cH:14]2
117,c1ccc(-c2cnco2)cc1,[c:1]([H:0])1[n:2][cH:5][c:4](-[c:15]2[cH:9][cH:10][cH:12][cH:14][cH:13]2)[o:3]1
118,c1ncc(-c2ccc3c(c2)OCO3)o1,[c:1]([H:0])1[n:2][cH:4][c:5](-[c:18]2[cH:9][c:8]3[c:7]([cH:6][cH:19]2)[O:12][CH2:11][O:10]3)[o:3]1
119,COC(=O)c1ncoc1C,[c:1]([H:0])1[n:2][c:4]([C:12]([O:13][CH3:11])=[O:14])[c:5]([CH3:9])[o:3]1
120,c1ccc2scnc2c1,[c:1]([H:0])1[n:2][c:5]2[c:4]([s:3]1)[cH:12][cH:11][cH:10][cH:8]2
121,c1ccc(-c2cncs2)cc1,[c:1]([H:0])1[n:2][cH:5][c:4](-[c:15]2[cH:9][cH:10][cH:12][cH:14][cH:13]2)[s:3]1
122,OB(O)c1ccc(C(F)(F)F)cc1,B([c:1]1[cH:2][cH:6][c:6]([C:6]([F:6])([F:6])[F:6])[cH:6][cH:3]1)([OH:4])[OH:5]
123,Cc1cccc(B(O)O)c1,B([c:1]1[cH:2][cH:6][cH:6][c:6]([CH3:6])[cH:3]1)([OH:4])[OH:5]
