react,fragC,fragO,product,C0O1_num
CN(C)c1cccc2ccc(OC(=O)C(C)(C)C)cc12,*OC(=O)C(C)(C)C,*c1ccc2cccc(N(C)C)c2c1,CN(C)c1cccc2ccc(C(=O)O)cc12,c1([O:1][C:12](=[O:13])[C:14]([CH3:15])([CH3:16])[CH3:17])[cH:9][cH:8][c:7]2[cH:6][cH:5][cH:4][c:3]([N:21]([CH3:2])[CH3:20])[c:19]2[cH:18]1
CN(C)c1ccc2ccc(OC(=O)C(C)(C)C)cc2c1,*c1ccc2ccc(N(C)C)cc2c1,*OC(=O)C(C)(C)C,CN(C)c2ccc1ccc(C(=O)O)cc1c2,c1([O:1][C:11](=[O:12])[C:13]([CH3:14])([CH3:15])[CH3:16])[cH:8][cH:7][c:6]2[cH:5][cH:4][c:3]([N:21]([CH3:2])[CH3:20])[cH:19][c:18]2[cH:17]1
CC(C)(C)C(=O)Oc1ccc2ccc(-n3cccn3)cc2c1,*c1ccc2ccc(-n3cccn3)cc2c1,*OC(=O)C(C)(C)C,O=C(O)c3ccc2ccc(n1cccn1)cc2c3,c1([O:1][C:4](=[O:5])[C:22]([CH3:2])([CH3:3])[CH3:23])[cH:8][cH:9][c:10]2[cH:11][cH:12][c:13](-[n:14]3[cH:15][cH:16][cH:17][n:18]3)[cH:19][c:20]2[cH:21]1
CC(C)(C)C(=O)Oc1ccc2ccc(-n3ccnc3)cc2c1,*c1ccc2ccc(-n3ccnc3)cc2c1,*OC(=O)C(C)(C)C,O=C(O)c3ccc2ccc(n1ccnc1)cc2c3,c1([O:1][C:4](=[O:5])[C:22]([CH3:2])([CH3:3])[CH3:23])[cH:8][cH:9][c:10]2[cH:11][cH:12][c:13](-[n:14]3[cH:15][cH:16][n:17][cH:18]3)[cH:19][c:20]2[cH:21]1
Cn1c2ccccc2c2ccc(OC(=O)C(C)(C)C)cc21,*OC(=O)C(C)(C)C,*c1ccc2c3ccccc3n(C)c2c1,Cn3c1ccccc1c2ccc(C(=O)O)cc23,c1([O:1][C:13](=[O:14])[C:15]([CH3:16])([CH3:17])[CH3:18])[cH:10][cH:9][c:8]2[c:7]3[c:2]([cH:3][cH:4][cH:5][cH:6]3)[n:22]([CH3:21])[c:20]2[cH:19]1
COc1cc2cc(OC(=O)C(C)(C)C)ccc2cc1-c1ccccc1,*OC(=O)C(C)(C)C,*c1ccc2cc(-c3ccccc3)c(OC)cc2c1,COc2cc1cc(C(=O)O)ccc1cc2c3ccccc3,c1([O:1][C:8](=[O:9])[C:10]([CH3:11])([CH3:12])[CH3:13])[cH:5][c:4]2[cH:3][c:2]([O:26][CH3:25])[c:18](-[c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[cH:17][c:16]2[cH:15][cH:14]1
CC(C)(C)C(=O)Oc1cccc2cc(O[Si](C)(C)C(C)(C)C)ccc12,*OC(=O)C(C)(C)C,*c1cccc2cc(O[Si](C)(C)C(C)(C)C)ccc12,CC(C)(C)[Si](C)(C)Oc2ccc1c(C(=O)O)cccc1c2,c1([O:1][C:4](=[O:5])[C:25]([CH3:2])([CH3:3])[CH3:26])[cH:8][cH:9][cH:10][c:11]2[cH:12][c:13]([O:14][Si:15]([CH3:16])([CH3:17])[C:18]([CH3:19])([CH3:20])[CH3:21])[cH:22][cH:23][c:24]12
CC(C)(C)C(=O)Oc1ccc2c(O[Si](C)(C)C(C)(C)C)cccc2c1,*OC(=O)C(C)(C)C,*c1ccc2c(O[Si](C)(C)C(C)(C)C)cccc2c1,CC(C)(C)[Si](C)(C)Oc1cccc2cc(C(=O)O)ccc12,c1([O:1][C:4](=[O:5])[C:25]([CH3:2])([CH3:3])[CH3:26])[cH:8][cH:9][c:10]2[c:11]([O:12][Si:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:18])[CH3:19])[cH:20][cH:21][cH:22][c:23]2[cH:24]1
CC(C)(C)C(=O)Oc1ccc2cc(O[Si](C)(C)C(C)(C)C)ccc2c1,*OC(=O)C(C)(C)C,*c1ccc2cc(O[Si](C)(C)C(C)(C)C)ccc2c1,CC(C)(C)[Si](C)(C)Oc2ccc1cc(C(=O)O)ccc1c2,c1([O:1][C:4](=[O:5])[C:25]([CH3:2])([CH3:3])[CH3:26])[cH:8][cH:9][c:10]2[cH:11][c:12]([O:13][Si:14]([CH3:15])([CH3:16])[C:17]([CH3:18])([CH3:19])[CH3:20])[cH:21][cH:22][c:23]2[cH:24]1
CC(C)(C)C(=O)Oc1cccc2c(O[Si](C)(C)C(C)(C)C)cccc12,*OC(=O)C(C)(C)C,*c1cccc2c(O[Si](C)(C)C(C)(C)C)cccc12,CC(C)(C)[Si](C)(C)Oc1cccc2c(C(=O)O)cccc12,c1([O:1][C:4](=[O:5])[C:25]([CH3:2])([CH3:3])[CH3:26])[cH:8][cH:9][cH:10][c:11]2[c:12]([O:13][Si:14]([CH3:15])([CH3:16])[C:17]([CH3:18])([CH3:19])[CH3:20])[cH:21][cH:22][cH:23][c:24]12
