react,C0C7_num
C[N+](C)(C)C,[N+]([CH3:1])([CH3:1])([CH3:1])[CH3:1]
[Li]I,[Li][I:1]
[Li]OC(=O)C(C)(C)C,[Li][O:1][C:1](=[O:1])[C:1]([CH3:1])([CH3:1])[CH3:1]
Br[Mg]Br,[Mg]([Br:1])[Br:1]
Br[Mg]c1ccc(N(c2ccccc2)c2ccccc2)cc1,[Mg]([Br:1])[c:1]1[cH:1][cH:1][c:1]([N:1]([c:1]2[cH:1][cH:1][cH:1][cH:1][cH:1]2)[c:1]2[cH:1][cH:1][cH:1][cH:1][cH:1]2)[cH:1][cH:1]1
Br[Mg]c1ccc2ccccc2c1,[Mg]([Br:1])[c:1]1[cH:1][cH:1][c:1]2[cH:1][cH:1][cH:1][cH:1][c:1]2[cH:1]1
O[Na],[Na][OH:1]
CCO[Na],[Na][O:1][CH2:1][CH3:1]
C[Si](C)(C)C[Mg]Cl,[Mg]([Cl:1])[CH2:1][Si:1]([CH3:1])([CH3:1])[CH3:1]
C=C[Mg]Br,[Mg]([Br:1])[CH:1]=[CH2:1]
CC1(C)COB(c2ccccc2)OC1,B1([c:1]2[cH:1][cH:1][cH:1][cH:1][cH:1]2)[O:1][CH2:1][C:1]([CH3:1])([CH3:1])[CH2:1][O:1]1
Cc1ccc(B2OCC(C)(C)CO2)cc1,B1([c:1]2[cH:1][cH:1][c:1]([CH3:1])[cH:1][cH:1]2)[O:1][CH2:1][C:1]([CH3:1])([CH3:1])[CH2:1][O:1]1
CN(C)c1ccc(B2OCC(C)(C)CO2)cc1,B1([c:1]2[cH:1][cH:1][c:1]([N:1]([CH3:1])[CH3:1])[cH:1][cH:1]2)[O:1][CH2:1][C:1]([CH3:1])([CH3:1])[CH2:1][O:1]1
CC1(C)COB(c2ccc(C(F)(F)F)cc2)OC1,B1([c:1]2[cH:1][cH:1][c:1]([C:1]([F:1])([F:1])[F:1])[cH:1][cH:1]2)[O:1][CH2:1][C:1]([CH3:1])([CH3:1])[CH2:1][O:1]1
CC(C)C[Al](CC(C)C)c1ccccc1,[Al]([CH2:1][CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1
[Li][Al](C)(C)(C)c1ccccc1,[Al]([Li:1])([CH3:1])([CH3:1])([CH3:1])[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1
C[Al](C)c1ccccc1,[Al]([CH3:1])([CH3:1])[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1
Cc1ccccc1[Al](CC(C)C)CC(C)C,[Al]([CH2:1][CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[c:1]1[cH:1][cH:1][cH:1][cH:1][c:1]1[CH3:1]
Cc1ccc([Al](CC(C)C)CC(C)C)cc1C,[Al]([CH2:1][CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[c:1]1[cH:1][cH:1][c:1]([CH3:1])[c:1]([CH3:1])[cH:1]1
COc1ccc([Al](CC(C)C)CC(C)C)cc1,[Al]([CH2:1][CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[c:1]1[cH:1][cH:1][c:1]([O:1][CH3:1])[cH:1][cH:1]1
CC(C)C[Al](CC(C)C)c1ccc(C(F)(F)F)cc1,[Al]([CH2:1][CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[c:1]1[cH:1][cH:1][c:1]([C:1]([F:1])([F:1])[F:1])[cH:1][cH:1]1
Cc1cccc(C)c1[Al](CC(C)C)CC(C)C,[Al]([CH2:1][CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[c:1]1[c:1]([CH3:1])[cH:1][cH:1][cH:1][c:1]1[CH3:1]
COc1cc(OC)cc([Al](CC(C)C)CC(C)C)c1,[Al]([CH2:1][CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[c:1]1[cH:1][c:1]([O:1][CH3:1])[cH:1][c:1]([O:1][CH3:1])[cH:1]1
CC(C)C[Al](CC(C)C)c1ccc(F)cc1,[Al]([CH2:1][CH:1]([CH3:1])[CH3:1])([CH2:1][CH:1]([CH3:1])[CH3:1])[c:1]1[cH:1][cH:1][c:1]([F:1])[cH:1][cH:1]1
