react,C0C7_num
CCP(CC)CC,P([CH2:1][CH3:4])([CH2:2][CH3:4])[CH2:3][CH3:4]
CCP(CC)CCP(CC)CC,P([CH2:2][CH3:8])([CH2:3][CH3:8])[CH2:4][CH2:5][P:1]([CH2:6][CH3:8])[CH2:7][CH3:8]
CN(C)P(N(C)C)N(C)C,[CH3:4][N:3]([CH3:4])[P:0]([N:1]([CH3:4])[CH3:4])[N:2]([CH3:4])[CH3:4]
CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,P([c:1]1[cH:4][cH:4][cH:4][cH:4][c:4]1-[c:4]1[cH:4][cH:4][cH:4][cH:4][c:4]1[N:4]([CH3:4])[CH3:4])([CH:2]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1)[CH:3]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1
CN1[C]N(CN2[C]N(C)C=C2)C=C1,[C]1[N:1]([CH3:5])[CH:4]=[CH:3][N:2]1[CH2:6][N:7]1[C:7][N:7]([CH3:7])[CH:7]=[CH:7]1
COP(OC)OC,[CH3:4][O:3][P:0]([O:1][CH3:4])[O:2][CH3:4]
COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,P([c:1]1[cH:4][cH:4][c:4]([O:4][CH3:4])[cH:4][cH:4]1)([c:2]1[cH:4][cH:4][c:4]([O:4][CH3:4])[cH:4][cH:4]1)[c:3]1[cH:4][cH:4][c:4]([O:4][CH3:4])[cH:4][cH:4]1
COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,P([c:1]1[cH:4][cH:4][cH:4][cH:4][c:4]1-[c:4]1[c:4]([O:4][CH3:4])[cH:4][cH:4][cH:4][c:4]1[O:4][CH3:4])([CH:2]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1)[CH:3]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1
COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,P([c:1]1[cH:4][cH:4][cH:4][cH:4][c:4]1[O:4][CH3:4])([c:2]1[cH:4][cH:4][cH:4][cH:4][c:4]1[O:4][CH3:4])[c:3]1[cH:4][cH:4][cH:4][cH:4][c:4]1[O:4][CH3:4]
CP(C(C)(C)C)C(C)(C)C,P([CH3:1])([C:2]([CH3:4])([CH3:4])[CH3:4])[C:3]([CH3:4])([CH3:4])[CH3:4]
CP(C)C,P([CH3:1])([CH3:2])[CH3:3]
CP(C)CCP(C)C,P([CH3:2])([CH3:3])[CH2:4][CH2:5][P:1]([CH3:6])[CH3:7]
Cc1cc(C)c(N2[C]N(c3c(C)cc(C)cc3C)C=C2)c(C)c1,[C]1[N:1]([c:5]2[c:7]([CH3:7])[cH:7][c:7]([CH3:7])[cH:7][c:7]2[CH3:7])[CH:4]=[CH:3][N:2]1[c:6]1[c:7]([CH3:7])[cH:7][c:7]([CH3:7])[cH:7][c:7]1[CH3:7]
Cc1cc(C)c(N2[C]N(c3c(C)cc(C)cc3C)CC2)c(C)c1,[C]1[N:1]([c:5]2[c:7]([CH3:7])[cH:7][c:7]([CH3:7])[cH:7][c:7]2[CH3:7])[CH2:4][CH2:3][N:2]1[c:6]1[c:7]([CH3:7])[cH:7][c:7]([CH3:7])[cH:7][c:7]1[CH3:7]
Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,P([c:1]1[cH:4][cH:4][c:4]([CH3:4])[cH:4][cH:4]1)([c:2]1[cH:4][cH:4][c:4]([CH3:4])[cH:4][cH:4]1)[c:3]1[cH:4][cH:4][c:4]([CH3:4])[cH:4][cH:4]1
Cc1ccccc1P(c1ccccc1C)c1ccccc1C,P([c:1]1[cH:4][cH:4][cH:4][cH:4][c:4]1[CH3:4])([c:2]1[cH:4][cH:4][cH:4][cH:4][c:4]1[CH3:4])[c:3]1[cH:4][cH:4][cH:4][cH:4][c:4]1[CH3:4]
FC(F)(F)c1ccc(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)cc1,P([c:1]1[cH:4][cH:4][c:4]([C:4]([F:4])([F:4])[F:4])[cH:4][cH:4]1)([c:2]1[cH:4][cH:4][c:4]([C:4]([F:4])([F:4])[F:4])[cH:4][cH:4]1)[c:3]1[cH:4][cH:4][c:4]([C:4]([F:4])([F:4])[F:4])[cH:4][cH:4]1
Fc1c(F)c(F)c(P(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,P([c:1]1[c:4]([F:4])[c:4]([F:4])[c:4]([F:4])[c:4]([F:4])[c:4]1[F:4])([c:2]1[c:4]([F:4])[c:4]([F:4])[c:4]([F:4])[c:4]([F:4])[c:4]1[F:4])[c:3]1[c:4]([F:4])[c:4]([F:4])[c:4]([F:4])[c:4]([F:4])[c:4]1[F:4]
[C]1N(C23CC4CC(CC(C4)C2)C3)C=CN1C12CC3CC(CC(C3)C1)C2,[C]1[N:1]([C:5]23[CH2:7][CH:7]4[CH2:7][CH:7]([CH2:7]2)[CH2:7][CH:7]([CH2:7]3)[CH2:7]4)[CH:3]=[CH:4][N:2]1[C:6]12[CH2:7][CH:7]3[CH2:7][CH:7]([CH2:7]1)[CH2:7][CH:7]([CH2:7]2)[CH2:7]3
[C]1N(C2C3CC4CC(C3)CC2C4)C=CN1C1C2CC3CC(C2)CC1C3,[C]1[N:1]([CH:5]2[CH:7]3[CH2:7][CH:7]4[CH2:7][CH:7]2[CH2:7][CH:7]([CH2:7]3)[CH2:7]4)[CH:3]=[CH:4][N:2]1[CH:6]1[CH:7]2[CH2:7][CH:7]3[CH2:7][CH:7]1[CH2:7][CH:7]([CH2:7]2)[CH2:7]3
[C]1N(C2CCCCC2)C=CN1C1CCCCC1,[C]1[N:1]([CH:5]2[CH2:7][CH2:7][CH2:7][CH2:7][CH2:7]2)[CH:3]=[CH:4][N:2]1[CH:6]1[CH2:7][CH2:7][CH2:7][CH2:7][CH2:7]1
[C]1N(CN2[C]N(C3CCCCC3)C=C2)C=CN1C1CCCCC1,[C]1[N:1]([CH2:5][N:7]2[C:7][N:7]([CH:7]3[CH2:7][CH2:7][CH2:7][CH2:7][CH2:7]3)[CH:7]=[CH:7]2)[CH:3]=[CH:4][N:2]1[CH:6]1[CH2:7][CH2:7][CH2:7][CH2:7][CH2:7]1
c1cc(P(C2CCCCC2)C2CCCCC2)c(P(C2CCCCC2)C2CCCCC2)s1,P([c:2]1[c:5]([P:1]([CH:6]2[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]2)[CH:7]2[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]2)[s:8][cH:8][cH:8]1)([CH:3]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1)[CH:4]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1
c1cc2c(c(P(C3CCCCC3)C3CCCCC3)c1)Oc1c(cccc1P(C1CCCCC1)C1CCCCC1)C2,P([c:2]1[cH:8][cH:8][cH:8][c:8]2[c:8]1[O:8][c:8]1[c:5]([P:1]([CH:6]3[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]3)[CH:7]3[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]3)[cH:8][cH:8][cH:8][c:8]1[CH2:8]2)([CH:3]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1)[CH:4]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1
c1ccc(-c2cc(-c3ccccc3)n(-c3ccccc3NC(c3ccccc3)P(C3CCCCC3)C3CCCCC3)n2)cc1,P([CH:1]([NH:4][c:4]1[cH:4][cH:4][cH:4][cH:4][c:4]1-[n:4]1[n:4][c:4](-[c:4]2[cH:4][cH:4][cH:4][cH:4][cH:4]2)[cH:4][c:4]1-[c:4]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)[c:4]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)([CH:2]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1)[CH:3]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1
c1ccc(-c2cc(-c3ccccc3)n(-c3ccccc3NC(c3ccccc3)P(c3ccccc3)c3ccccc3)n2)cc1,P([CH:1]([NH:4][c:4]1[cH:4][cH:4][cH:4][cH:4][c:4]1-[n:4]1[n:4][c:4](-[c:4]2[cH:4][cH:4][cH:4][cH:4][cH:4]2)[cH:4][c:4]1-[c:4]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)[c:4]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)([c:2]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)[c:3]1[cH:4][cH:4][cH:4][cH:4][cH:4]1
c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1,P([c:1]1[cH:4][cH:4][cH:4][cH:4][c:4]1-[c:4]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)([CH:2]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1)[CH:3]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1
c1ccc(-c2ccccn2)nc1,[cH:3]1[cH:8][cH:8][c:4](-[c:5]2[cH:8][cH:8][cH:7][cH:6][n:0]2)[n:1][cH:2]1
c1ccc(CP(Cc2ccccc2)Cc2ccccc2)cc1,P([CH2:1][c:4]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)([CH2:2][c:4]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)[CH2:3][c:4]1[cH:4][cH:4][cH:4][cH:4][cH:4]1
c1ccc(P(C2CCCCC2)C2CCCCC2)c(P(C2CCCCC2)C2CCCCC2)c1,P([c:2]1[c:5]([P:1]([CH:6]2[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]2)[CH:7]2[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]2)[cH:8][cH:8][cH:8][cH:8]1)([CH:3]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1)[CH:4]1[CH2:8][CH2:8][CH2:8][CH2:8][CH2:8]1
c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,P([c:1]1[cH:4][cH:4][cH:4][cH:4][cH:4]1)([CH:2]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1)[CH:3]1[CH2:4][CH2:4][CH2:4][CH2:4][CH2:4]1
c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,P([c:2]1[cH:8][cH:8][cH:8][cH:8][cH:8]1)([CH2:3][CH2:8][CH2:8][CH2:5][P:1]([c:6]1[cH:8][cH:8][cH:8][cH:8][cH:8]1)[c:7]1[cH:8][cH:8][cH:8][cH:8][cH:8]1)[c:4]1[cH:8][cH:8][cH:8][cH:8][cH:8]1
